EnterCode,ExitCode,EnterName,ExitName,Distance/Km,NormalPrice,EarlyPrice
44_44,130_92,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Cove (PE1),li class=\'distance_fare_result_dt\'>26.6 km,li class=\'distance_fare_result_fr\'>$1.94
44_44,209_117,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Dakota (CC8),li class=\'distance_fare_result_dt\'>24.3 km,li class=\'distance_fare_result_fr\'>$1.91
44_44,136_98,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Damai (PE7),li class=\'distance_fare_result_dt\'>26.5 km,li class=\'distance_fare_result_fr\'>$1.94
44_44,10_10,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Dhoby Ghaut (NS24 / NE6 / CC1),li class=\'distance_fare_result_dt\'>22.8 km,li class=\'distance_fare_result_fr\'>$1.87
44_44,64_63,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Dover (EW22),li class=\'distance_fare_result_dt\'>22.2 km,li class=\'distance_fare_result_fr\'>$1.84
44_44,303_132,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Downtown (DT17),li class=\'distance_fare_result_dt\'>25.8 km,li class=\'distance_fare_result_fr\'>$1.93
44_44,214_112,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Esplanade (CC3),li class=\'distance_fare_result_dt\'>24.1 km,li class=\'distance_fare_result_fr\'>$1.89
44_44,36_36,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Eunos (EW7),li class=\'distance_fare_result_dt\'>24.2 km,li class=\'distance_fare_result_fr\'>$1.89
44_44,333_62,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Expo (CG1 / DT35),li class=\'distance_fare_result_dt\'>31.1 km,li class=\'distance_fare_result_fr\'>$1.98
44_44,58_57,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Fajar (BP10),li class=\'distance_fare_result_dt\'>15.7 km,li class=\'distance_fare_result_fr\'>$1.63
44_44,123_85,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Farmway (SW2),li class=\'distance_fare_result_dt\'>25.2 km,li class=\'distance_fare_result_fr\'>$1.91
44_44,110_74,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Farrer Park (NE8),li class=\'distance_fare_result_dt\'>22.6 km,li class=\'distance_fare_result_fr\'>$1.87
44_44,218_122,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Farrer Road (CC20),li class=\'distance_fare_result_dt\'>23.3 km,li class=\'distance_fare_result_fr\'>$1.89
44_44,126_88,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Fernvale (SW5),li class=\'distance_fare_result_dt\'>26.6 km,li class=\'distance_fare_result_fr\'>$1.94
44_44,318_160,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Fort Canning (DT20),li class=\'distance_fare_result_dt\'>25.7 km,li class=\'distance_fare_result_fr\'>$1.93
44_44,322_156,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Geylang Bahru (DT24),li class=\'distance_fare_result_dt\'>24.3 km,li class=\'distance_fare_result_fr\'>$1.91
44_44,69_143,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Gul Circle (EW30),li class=\'distance_fare_result_dt\'>27.6 km,li class=\'distance_fare_result_fr\'>$1.95
44_44,227_78,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>HarbourFront (NE1 / CC29),li class=\'distance_fare_result_dt\'>28.1 km,li class=\'distance_fare_result_fr\'>$1.95
44_44,223_126,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Haw Par Villa (CC25),li class=\'distance_fare_result_dt\'>26.6 km,li class=\'distance_fare_result_fr\'>$1.94
44_44,308_141,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Hillview (DT3),li class=\'distance_fare_result_dt\'>15.4 km,li class=\'distance_fare_result_fr\'>$1.63
44_44,219_123,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Holland Village (CC21),li class=\'distance_fare_result_dt\'>24.5 km,li class=\'distance_fare_result_fr\'>$1.91
44_44,104_68,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Hougang (NE14),li class=\'distance_fare_result_dt\'>21.6 km,li class=\'distance_fare_result_fr\'>$1.84
44_44,320_158,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Jalan Besar (DT22),li class=\'distance_fare_result_dt\'>27.0 km,li class=\'distance_fare_result_fr\'>$1.94
44_44,60_59,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Jelapang (BP12),li class=\'distance_fare_result_dt\'>14.5 km,li class=\'distance_fare_result_fr\'>$1.59
44_44,67_106,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Joo Koon (EW29),li class=\'distance_fare_result_dt\'>25.3 km,li class=\'distance_fare_result_fr\'>$1.93
44_44,24_24,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Jurong East (NS1 / EW24),li class=\'distance_fare_result_dt\'>17.0 km,li class=\'distance_fare_result_fr\'>$1.67
44_44,134_96,li class=\'distance_fare_result_bd\'>Admiralty (NS10),li class=\'distance_fare_result_al\'>Kadaloor (PE5),li class=\'distance_fare_result_dt\'>27.6 km,li class=\'distance_fare_result_fr\'>$1.95
